policy_number,transaction_id,premium_date,amount,payment_method,status,org_code
LNL0000001,89785FA2096B319B,2026-03-01,183.37,CREDIT_CARD,PAID,lnl
LNL0000001,46E811515C3476EA,2026-01-30,183.37,CREDIT_CARD,PAID,lnl
LNL0000001,1CD3601D523D1127,2025-12-31,183.37,EFT,PAID,lnl
LNL0000002,157903BFE69211D5,2026-03-01,155.19,CHECK,PENDING,lnl
LNL0000002,F89A9D34763F35AD,2026-01-30,155.19,CREDIT_CARD,PAID,lnl
LNL0000002,51D23C95A484AB1A,2025-12-31,155.19,CHECK,PAID,lnl
LNL0000003,AE61DAB8934DA2B6,2026-03-01,2413.50,EFT,PAID,lnl
LNL0000003,FA468572858EE598,2026-01-30,2413.50,EFT,RETURNED,lnl
LNL0000003,A3272DC1ADAB7551,2025-12-31,2413.50,EFT,PENDING,lnl
LNL0000004,8427D6BB5F69BBA0,2026-03-01,1186.57,CHECK,PENDING,lnl
LNL0000004,A72BF4D43196C9DB,2026-01-30,1186.57,EFT,PAID,lnl
LNL0000004,FC61C725A69C8465,2025-12-31,1186.57,CHECK,RETURNED,lnl
LNL0000005,444FFC89928C33C6,2026-03-01,3800.27,CHECK,PAID,lnl
LNL0000005,216622B46413A8A4,2026-01-30,3800.27,CHECK,PAID,lnl
LNL0000005,0A9B3864BCE19FF1,2025-12-31,3800.27,CHECK,PAID,lnl
LNL0000006,7042D239E0A9FF37,2026-03-01,431.22,CHECK,RETURNED,lnl
LNL0000006,4A1ACFCA2E14C23B,2026-01-30,431.22,CREDIT_CARD,PAID,lnl
LNL0000006,C6C8A6F98E5A0FBC,2025-12-31,431.22,EFT,PAID,lnl
LNL0000007,AB71E044CD61D01D,2026-03-01,41.96,EFT,PAID,lnl
LNL0000007,BE7F5509334EB25F,2026-01-30,41.96,EFT,PENDING,lnl
LNL0000007,9012EF14C2EA25B4,2025-12-31,41.96,CREDIT_CARD,PAID,lnl
LNL0000008,F98F130E3DE09F2F,2026-03-01,1314.86,EFT,RETURNED,lnl
LNL0000008,CC7A42E39F583C0F,2026-01-30,1314.86,EFT,PAID,lnl
LNL0000008,337D1E7036221336,2025-12-31,1314.86,CREDIT_CARD,PENDING,lnl
LNL0000009,CB26BDDA43120C8D,2026-03-01,139.03,CHECK,RETURNED,lnl
LNL0000009,CBA969D633ACA967,2026-01-30,139.03,CHECK,PENDING,lnl
LNL0000009,B8364B954DA35D06,2025-12-31,139.03,CHECK,RETURNED,lnl
LNL0000010,DECB491B99467CD5,2026-03-01,2055.08,EFT,RETURNED,lnl
LNL0000010,8C5B94BD8C3A50FB,2026-01-30,2055.08,EFT,PENDING,lnl
LNL0000010,63DE6CBAF3312190,2025-12-31,2055.08,CHECK,PAID,lnl
LNL0000011,BD99CF44EB8FF392,2026-03-01,156.44,EFT,RETURNED,lnl
LNL0000011,61828DFF7A9E0DE4,2026-01-30,156.44,EFT,PAID,lnl
LNL0000011,58BFBFFABB7C7FB3,2025-12-31,156.44,CHECK,RETURNED,lnl
LNL0000012,695BEA851ED81C4E,2026-03-01,424.18,CHECK,PAID,lnl
LNL0000012,8FA631CA4F74F492,2026-01-30,424.18,CREDIT_CARD,PAID,lnl
LNL0000012,7B1564A61D0DAA21,2025-12-31,424.18,CREDIT_CARD,PAID,lnl
LNL0000013,EBAF13F9A6E933BD,2026-03-01,350.40,EFT,RETURNED,lnl
LNL0000013,80C6D048C1F60F60,2026-01-30,350.40,CREDIT_CARD,PAID,lnl
LNL0000013,22917F30B7515B6A,2025-12-31,350.40,CREDIT_CARD,RETURNED,lnl
LNL0000014,A5ECB5148321EAFB,2026-03-01,107.71,EFT,PAID,lnl
LNL0000014,2B69E040D1413C92,2026-01-30,107.71,EFT,PENDING,lnl
LNL0000014,DC6B535A79D67B25,2025-12-31,107.71,EFT,PAID,lnl
LNL0000015,B2DE019390735ACA,2026-03-01,61.92,CHECK,RETURNED,lnl
LNL0000015,C6806E817A4780CD,2026-01-30,61.92,EFT,PENDING,lnl
LNL0000015,7EEBB3887EB8D152,2025-12-31,61.92,CREDIT_CARD,PENDING,lnl
LNL0000016,494C1160CDCC1E94,2026-03-01,2327.78,CHECK,PENDING,lnl
LNL0000016,CA8BA4112BD3B440,2026-01-30,2327.78,CREDIT_CARD,PAID,lnl
LNL0000016,A14B0740FA703508,2025-12-31,2327.78,EFT,PENDING,lnl
LNL0000017,19D7A0323514AE0D,2026-03-01,97.83,CREDIT_CARD,PENDING,lnl
LNL0000017,79AD11267AE17DC0,2026-01-30,97.83,CREDIT_CARD,PENDING,lnl
LNL0000017,021651B7B96525F8,2025-12-31,97.83,CHECK,PENDING,lnl
LNL0000018,B3D60F702C4E26A3,2026-03-01,548.06,CREDIT_CARD,PAID,lnl
LNL0000018,5C39338758F1495E,2026-01-30,548.06,CREDIT_CARD,PENDING,lnl
LNL0000018,8F88450EFFF9B044,2025-12-31,548.06,CHECK,PAID,lnl
LNL0000019,95EDF32FFBEDD6F3,2026-03-01,306.36,CREDIT_CARD,PAID,lnl
